scanned_at_utc,n_curated_gems,n_explorer_gems,pick,best_score,verdict,gems,gem_mentions
2026-08-25 19:06,5,2,ETHE,0.549,pick: ETHE,ETHE CLOV BMNR SBET RENDER-USD NEXT OPAL,ETHE:0 CLOV:0 BMNR:2 SBET:0 RENDER-USD:0 NEXT:0 OPAL:0
2026-08-26 16:05,5,2,CLOV,0.529,pick: CLOV,CLOV BMNR SBET RENDER-USD SOL-USD NEXT OPAL,CLOV:0 BMNR:2 SBET:0 RENDER-USD:0 SOL-USD:0 NEXT:0 OPAL:0
2026-08-26 20:19,5,2,CLOV,0.529,pick: CLOV,CLOV BMNR SBET RENDER-USD SOL-USD NEXT OPAL,CLOV:0 BMNR:2 SBET:0 RENDER-USD:0 SOL-USD:0 NEXT:3 OPAL:0
2026-08-27 23:59,5,2,,0.434,best adjusted score 0.43 (RENDER-USD) is below the 0.50 conviction floor,RENDER-USD BAYRY FIG DDD BOWL.L NEXT OPAL,RENDER-USD:0 BAYRY:0 FIG:0 DDD:0 BOWL.L:0 NEXT:3 OPAL:0
2026-08-28 02:14,5,2,,0.434,best adjusted score 0.43 (RENDER-USD) is below the 0.50 conviction floor,RENDER-USD BAYRY FIG DDD BOWL.L NEXT OPAL,RENDER-USD:0 BAYRY:0 FIG:0 DDD:0 BOWL.L:0 NEXT:0 OPAL:0
2026-08-28 23:41,5,2,PYPL,0.509,pick: PYPL,PYPL ETHE BOWL.L BAYRY FIG NEXT OPAL,PYPL:35 ETHE:0 BOWL.L:0 BAYRY:0 FIG:2 NEXT:0 OPAL:0
2026-08-29 01:48,5,2,PYPL,0.509,pick: PYPL,PYPL ETHE BOWL.L BAYRY FIG NEXT OPAL,PYPL:34 ETHE:0 BOWL.L:0 BAYRY:0 FIG:2 NEXT:0 OPAL:0
2026-08-31 20:22,5,2,ETHE,0.565,pick: ETHE,ETHE PYPL AI BMNR BOWL.L NEXT OPAL,ETHE:0 PYPL:10 AI:0 BMNR:0 BOWL.L:0 NEXT:0 OPAL:0
2026-08-31 22:56,5,2,ETHE,0.565,pick: ETHE,ETHE PYPL AI BMNR BOWL.L NEXT OPAL,ETHE:0 PYPL:14 AI:0 BMNR:0 BOWL.L:0 NEXT:0 OPAL:0
2026-09-01 17:57,5,2,ETHE,0.525,pick: ETHE,ETHE PYPL AI JD VANI NEXT OPAL,ETHE:0 PYPL:8 AI:0 JD:0 VANI:0 NEXT:0 OPAL:0
2026-09-01 21:10,5,2,ETHE,0.525,pick: ETHE,ETHE PYPL AI JD VANI NEXT OPAL,ETHE:0 PYPL:9 AI:0 JD:0 VANI:0 NEXT:0 OPAL:0
2026-09-02 18:03,5,2,ETHE,0.514,pick: ETHE,ETHE DUOL SOL-USD JD DDD NEXT OPAL,ETHE:0 DUOL:0 SOL-USD:0 JD:0 DDD:0 NEXT:0 OPAL:0
2026-09-02 21:10,5,2,ETHE,0.514,pick: ETHE,ETHE DUOL SOL-USD JD DDD NEXT OPAL,ETHE:0 DUOL:0 SOL-USD:0 JD:0 DDD:0 NEXT:0 OPAL:0
2026-09-03 18:04,5,2,AI,0.521,pick: AI,AI ETHE JD DUOL PYPL NEXT OPAL,AI:0 ETHE:0 JD:4 DUOL:0 PYPL:5 NEXT:2 OPAL:0
2026-09-03 21:10,5,2,AI,0.521,pick: AI,AI ETHE JD DUOL PYPL NEXT OPAL,AI:0 ETHE:0 JD:6 DUOL:0 PYPL:7 NEXT:0 OPAL:0
2026-09-04 17:48,5,5,ATVK,0.586,pick: ATVK,ATVK MWK AI LON:GST VICR CLNN POET CNVS LFVN TEAD,ATVK:0 MWK:0 AI:0 LON:GST:0 VICR:0 CLNN:0 POET:0 CNVS:0 LFVN:0 TEAD:0
