ticker,name,description,target_entry,target_exit
BBNX,"Beta Bionics, Inc. - Common Stock",Other,,
BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",Other,,
BBSI,"Barrett Business Services, Inc. - Common Stock",Other,,
BCAL,California BanCorp - Common Stock,Other,,
BCAR,D. Boral ARC Acquisition I Corp. - Class A Ordinary Shares,Other,,
BCAX,Bicara Therapeutics Inc. - Common Stock,Other,,
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",Other,,
BETR,Better Home & Finance Holding Company - Class A Common Stock,Other,,
BFST,"Business First Bancshares, Inc. - Common Stock",Other,,
BIOA,"BioAge Labs, Inc. - Common Stock",Other,,
BIYA,Baiya International Group Inc.  - Ordinary Shares,Other,,
BL,"BlackLine, Inc. - Common Stock",Other,,
BLDP,"Ballard Power Systems, Inc. - Common Shares",Other,,
BLKB,"Blackbaud, Inc. - Common Stock",Other,,
BLMN,"Bloomin' Brands, Inc. - Common Stock",Other,,
BLZE,"Backblaze, Inc. - Common Stock",Other,,
BMEA,"Biomea Fusion, Inc. - Common Stock",Other,,
BNAI,Brand Engagement Network Inc. - Common Stock,Other,,
BNC,CEA Industries Inc. - Common Stock,Other,,
BOLD,"Boundless Bio, Inc. - Common Stock",Other,,
BOOM,DMC Global Inc. - Common Stock,Other,,
BRAI,Braiin Limited - Common Stock,Other,,
BRCB,"Black Rock Coffee Bar, Inc. - Class A Common Stock",Other,,
BRR,"ProCap Financial, Inc. - Common Stock",Other,,
BRUN,Boost Run Inc. - Class A Common Stock,Other,,
BSIN,Big Sky Industrial Inc. - Common Stock,Other,,
BTBT,"Bit Digital, Inc. - Ordinary Share",Other,,
BTCS,BTCS Inc. - Common Stock,Other,,
BTMD,Biote Corp. - Class A common stock,Other,,
BTQ,BTQ Technologies Corp. - Common Stock,Other,,
BVS,Bioventus Inc. - Class A Common Stock,Other,,
BWEN,"Broadwind, Inc. - Common Stock",Other,,
BXBL,"BOXABL, Inc.  - Common stock",Other,,
BZAI,"Blaize Holdings, Inc. - Common Stock",Other,,
BZFD,"BuzzFeed, Inc. - Class A Common Stock",Other,,
CABA,"Cabaletta Bio, Inc. - Common Stock",Other,,
CADL,"Candel Therapeutics, Inc. - Common Stock",Other,,
CAPR,"Capricor Therapeutics, Inc. - Common Stock",Other,,
CARE,"Carter Bankshares, Inc. - Common Stock",Other,,
CAST,"FreeCast, Inc. - Class A common stock",Other,,
CBIO,"Crescent Biopharma, Inc. - Common Stock",Other,,
CBLL,"CeriBell, Inc. - Common Stock",Other,,
CBUS,"Cibus, Inc. - Class A Common Stock",Other,,
CCAP,"Crescent Capital BDC, Inc. - Common Stock",Other,,
CCCC,"C4 Therapeutics, Inc. - Common Stock",Other,,
CCLD,"CareCloud, Inc. - Common Stock",Other,,
CCOI,"Cogent Communications Holdings, Inc. - Common Stock",Other,,
CCXI,Churchill Capital Corp XI - Class A Ordinary Shares,Other,,
CD,Chaince Digital Holdings Inc. - American Ordinary Shares,Other,,
CDXS,"Codexis, Inc. - Common Stock",Other,,
CDZI,"Cadiz, Inc. - Common Stock",Other,,
CERS,Cerus Corporation - Common Stock,Other,,
CERT,"Certara, Inc. - Common Stock",Other,,
CEVA,"CEVA, Inc. - Common Stock",Other,,
CFFN,"Capitol Federal Financial, Inc. - Common Stock",Other,,
CGBD,"Carlyle Secured Lending, Inc. - Closed End Fund",Other,,
