ticker,name,description,target_entry,target_exit
CHWY,Chewy Inc,Pets,20.0,
CINGF,Coinsilium Group,Crypto,,
CLIS.TA,Clal Insurance Enterprises Holdings,Israeli insurance,,
CLLS,Cellectis SA,Gene Editing,,
CLNE,Clean Energy Fuels Corp,Clean energy,2.0,
CLOV,Clover Health Investments,Ai play,4.14,
CLSK,CleanSpark Inc,Crypto mining,6.0,
CLVR,Clever Leaves Holdings,Medical cannabis,,
CMCM,Cheetah Mobile Inc,Owns Cleanmaster,1.5,
CMCX,CMC Markets Plc,Trading platform,77.0,400.0
CMGR,Clubhouse Media Group,Media,,
CMPS,Compass Pathways PLC,Psychedelics,,
CNC,Centene Corp,Operose healthcare,59.06,
COCP,Cocrystal Pharma Inc,Covid 19 testing,,
COIN,Coinbase Global Inc,Crypto Exchange,150.0,500.0
COST,Costco Wholesale Corp,Membership retail,500.0,1000.0
COUR,Coursera Inc,Ed Tech,10.0,
COWI,CarbonMeta Technologies,Carbon,,
CPG.L,Compass Group plc,Immig catering,,
CPI,Carlton Precious Inc,Immig admin/visas,,
CPNG,Coupang Inc,Amazon South Korea,,
CRBP,Corbus Pharmaceuticals,Pharma,2.0,
CREE,Cree Inc,Semiconductors,,
CRM,Salesforce Inc,Enterprise software,100.0,
CRNT,Ceragon Networks,5G,,
CRSP,CRISPR Therapeutics,Gene editing,40.0,100.0
CRTO,Criteo SA,Ad tech,20.0,
CRWD,CrowdStrike Holdings Inc,Internet Sec,70.0,
CSCO,Cisco Systems Inc,Networking,30.0,
CSPX.L,iShares Core S&P 500 UCITS ETF,ETF S&P500,,
CVNA,Carvana Co,Used car vending,,
CVS,CVS Health Corp,Pharmacy distribution,,
CWB,SPDR Bloomberg Convertibles ETF,Convertible Bond ETF,,
CYB.TO,Cymbria Corp,Yuan ETF,,
DAR,Darling Ingredients Inc,Industrial,,
DARE,Daré Bioscience,Female Viagra,,
DASH,DoorDash Inc,Delivery,,
DATA.L,GlobalData PLC,Data,200.0,
DBK,Deutsche Bank AG,Banking,5.0,25.0
DDD,3D Systems Corp,3D Printing,5.0,
LABD,Direxion Daily S&P Biotech Bear 3X,ETF,50.0,400.0
DEFI,Hashdex Bitcoin ETF,Bitcoin ETF,,
DELL,Dell Technologies Inc,Laptop Lockdown play,,
DIS,Walt Disney Co,Media,100.0,200.0
DKNG,DraftKings Inc,Sports betting,16.0,
DLPN,Dolphin Entertainment Inc,Media,,
DLR,Digital Realty Trust Inc,Datacentre REIT,105.0,200.0
DNN,Denison Mines Corp,Uranium,0.6,
DOCU,Docusign Inc,SaaS,60.0,100.0
DOGE-USD,Dogecoin,Crypto,,
DOYU,Douyu International,Chinese video streaming,3.0,
DRIV,Global X Autonomous & Electric Vehicles ETF,EV ETF Driverless,,
DSS,DSS Inc,Health/security,,
DT,Dynatrace Inc,APM SaaS,,
DUKE,Duke Capital Ltd,Royalty financing,,
DUOL,Duolingo Inc,Ed tech,200.0,
DVN,Devon Energy Corp,Oil & gas,,
DXCM,DexCom Inc,Med instruments,30.0,
EBON,Ebang International Holdings,Mining doge and lite,,
ECAR.L,iShares Electric Vehicles ETF,ETF Electric Vehicles,4.0,12.0
ECOR,electroCore Inc,Biotech,,
EDIT,Editas Medicine Inc,CRISPR,,
EH,EHang Holdings Ltd ADR,Drones,,
EHTH,eHealth Inc,Health insurance,,
EL,Estee Lauder Companies Inc,Beauty,,
ELVN,Enliven Therapeutics,Sickle cell,14.0,30.0
ELYS,Elys Game Technology,Gaming Tech,,
EMQQ,EMQQ Emerging Markets Internet,ETF EM China Tech,,
ENVB,Enveric Biosciences,Cancer,,
ENZC,Enzolytics Inc,Virus cures,,
EONR,EON Resources Inc,Energy,0.5,
EPA:AIR,Airbus SE,Aerospace,100.0,
EPA:KER,Kering SA,Luxury,,
EPA:RMS,Hermes International SCA,Luxury,1000.0,
EPA:SAN,Sanofi SA,Pharma,,
EPA:SOP,Sopra Steria Group,UK govt eVisas,150.0,
EPA:SU,Schneider Electric SE,Solar Electric,60.0,
EPA:VIV,Vivendi SE,Media,,
EPC,Edgewell Personal Care,Male grooming,25.0,
EPR,EPR Properties,REIT Tourism,22.0,
EQ,Equillium Inc,Pharma,,
ESPO,VanEck Video Gaming and eSports,ETF Gaming/esports,40.0,
ESSITY-A.ST,Essity AB,Global Hygiene,200.0,
ESTC,Elastic NV,Search SaaS,,
ESYS.L,essensys PLC,Office software,17.0,
ETH-USD,Ethereum,Tier 1 crypto,1000.0,10000.0
ETHE,Grayscale Ethereum Trust,Ethereum Fund,20.0,
DHL.DE,DHL Group,Logistics,30.0,
ETSY,Etsy Inc,E-commerce,,
EURN,Euronav NV,Marine oil storage,,
EVSV,Enviro-Serv Inc,Environmental services,,
EXEL,Exelixis Inc,Pharma,,
EXK,Endeavour Silver Corp,Silver mining,,
FCEL,FuelCell Energy Inc,Natural Bio gas fuel,,
FCVT,First Trust SSI Strategic Convertible ETF,Convertible Bond ETF,,
FCX,Freeport-McMoRan Inc,Copper,50.0,
FDMT,4D Molecular Therapeutics,Gene editing,,
FDX,FedEx Corp,Logistics,,
FET-USD,FET,Ai crypto,1.0,
FIG,Figma Inc,Design SaaS,45.0,
FIVN,Five9 Inc,Ai Business spend,50.0,
FIZZ,National Beverage Corp,Beverages,,
FLGT,Fulgent Genetics Inc,Genetics,10.0,
FLL,Full House Resorts,Gaming,,
FLT,FleetCor Technologies,Payments,,
FOUR,Shift4 Payments,Payments,,
FRPT,Freshpet Inc,Pet Food refrigerated,,
FSJ,James Fisher and Sons PLC,Marine oil/gas,,
FTAI,FTAI Aviation,Aviation leasing,,
FTNT,Fortinet Inc,Cybersec,,
FUBO,fuboTV Inc,Streaming,2.0,10.0
FULT,Fulton Financial,Regional bank,,
FUNO11,Fibra Uno,Mexican REIT,,
FVRR,Fiverr International,Freelancers,,
FXB,Invesco CurrencyShares British Pound,Forex ETF GBP,,
GAMA,Gamma Resources Ltd,Mining,,
GLBS,Globus Maritime,Marine cargo,1.0,3.0
GLD,SPDR Gold Trust,Gold ETF,300.0,
GLEN,Glencore PLC,Mining,125.0,400.0
GMBL,Esports Entertainment Group,Esports,,
GME,GameStop Corp,Gaming,15.0,
GNPX,Genprex Inc,Biotech,0.25,
GOOG,Alphabet Inc Class C,Big tech,150.0,
GRAB,Grab Holdings Ltd,Ride share,4.0,
GRPN,Groupon,E-commerce,10.0,30.0
GRWG,GrowGeneration Corp,Cannabis,,
GS,Goldman Sachs Group Inc,Investment bank,140.0,1000.0
GTCH,GBT Technologies Inc,Microchip Mobile Tech,,
GTLB,Gitlab Inc,DevOps,20.0,
GWO.TO,Great-West Lifeco Inc,Insurance,,
HAYD,Haydale Graphene Industries,Graphene fabric,0.5,
HCAC,Hennessy Capital Acquisition,EV SPAC,,
HCMC,Healthier Choices Management Corp,Healthcare,,
HEMO.L,Hemogenyx Pharmaceuticals,Biotech blood,1.5,
HERO,Global X Video Games & Esports ETF,Gaming esports,1.0,
HIMS,Hims & Hers Health Inc,Telehealth,10.0,60.0
HIVE,HIVE Digital Technologies,Bitcoin mining,,
HKG:0700,Tencent Holdings Ltd,Chinese tech,,
HNST,The Honest Company,Consumer,2.0,
HOG,Harley-Davidson Inc,Motorbikes,,
HOOD,Robinhood Markets Inc,Brokerage,40.0,
HSW,Hostelworld Group PLC,Travel,,
HSY,Hershey,Snacks,,
HUMA,Humacyte Inc,Biotech,2.0,
HUT,Hut 8 Corp,Bitcoin mining,10.0,20.0
